"id","epic","phase","size","title","description","deps","files","acceptance","verify","notes","labels"
"P0-001","EPIC-P0-INFRA","","S","Инициализация git-репозитория и базовых файлов","Создать репозиторий new-universe на GitHub, добавить README, LICENSE (MIT), .gitignore (Node + Docker), .editorconfig, базовый .github/CODEOWNERS.","","README.md | LICENSE | .gitignore | .editorconfig | .github/CODEOWNERS","Репозиторий доступен по https://github.com/anry88/new-universe | README содержит описание проекта в 3-5 предложений и ссылку на GDD | .gitignore исключает node_modules, .env, dist, .DS_Store | Главная ветка main, защищена от прямых пушей","git clone https://github.com/anry88/new-universe и `ls -la` показывает все файлы","GDD-документы скопировать в /docs из текущей папки New Universe.",""
"P0-002","EPIC-P0-INFRA","","M","Docker compose локальное dev-окружение","Перенести dev/docker-compose.yml, dev/.env.example, dev/backend/Dockerfile, dev/frontend/Dockerfile, dev/README.md из текущей папки в репозиторий. Проверить, что docker compose up -d поднимает postgres + redis (backend и frontend будут добавлены позже).","P0-001","docker-compose.yml | .env.example | README.md (в корне)","`docker compose up -d postgres redis` запускается без ошибок | `docker compose logs postgres` показывает healthy state | `docker compose exec postgres psql -U nu -d new_universe -c ""SELECT 1""` отвечает 1","Команды из dev/README.md работают","Порт 5432 не должен конфликтовать с локально установленным Postgres (если есть — поменять порт в .env).",""
"P0-003","EPIC-P0-INFRA","","M","Backend skeleton — Fastify + TS","Создать backend/ с минимальным Fastify-приложением: GET /health, структурированное логирование через Pino, чтение env через dotenv + Zod-валидация. Запуск через docker compose up backend.","P0-002","backend/src/index.ts | backend/src/lib/env.ts | backend/src/lib/logger.ts | backend/src/routes/health.ts | backend/tsconfig.json","GET /health возвращает {""status"":""ok"",""ts"":...} | Логи в JSON-формате, в dev — pino-pretty | Сервер падает на старте, если в .env отсутствует обязательная переменная","curl http://localhost:3000/health → 200 ok","Fastify v5, TypeScript strict, ES modules.",""
"P0-004","EPIC-P0-INFRA","","M","Frontend skeleton — Vite + React + TMA SDK","Создать frontend/ с минимальным React-приложением, инициализацией Telegram WebApp SDK, Tailwind CSS, страницей ""Hello, {username}"". Запуск через docker compose up frontend.","P0-002","frontend/src/main.tsx | frontend/src/App.tsx | frontend/index.html | frontend/vite.config.ts | frontend/tailwind.config.ts | frontend/src/index.css","http://localhost:5173 отдаёт страницу с приветствием | При запуске внутри Telegram — берёт username из initData | Поддерживается dark/light тема Telegram | Tailwind CSS работает (классы применяются)","docker compose up frontend → открыть http://localhost:5173 → отображается страница","Использовать @telegram-apps/sdk-react. Если запущено НЕ из Telegram — использовать заглушку user=""DevUser"".",""
"P0-005","EPIC-P0-INFRA","","S","Drizzle ORM + миграции","Установить drizzle-orm + drizzle-kit. Настроить drizzle.config.ts. Создать пустую schema.ts. Команды npm run db:migrate, db:generate, db:studio должны работать.","P0-003","backend/drizzle.config.ts | backend/src/db/index.ts | backend/src/db/schema.ts | backend/src/db/migrations/.gitkeep","`npm run db:generate` создаёт миграцию из изменений schema.ts | `npm run db:migrate` накатывает миграции на dev БД | `npm run db:studio` запускает Drizzle Studio на http://localhost:4983","`npm run db:migrate` без ошибок, `\dt` в psql показывает только пустые системные таблицы","—",""
"P0-006","EPIC-P0-INFRA","","M","GitHub Actions CI","Workflow .github/workflows/ci.yml: на каждый PR — lint, type-check, тесты для backend и frontend. Использовать docker compose для прогона. Кэшировать node_modules.","P0-003 | P0-004",".github/workflows/ci.yml","PR на main → запускается workflow | Workflow проходит на ~3-5 минут | Падение тестов блокирует merge","Создать PR с заведомо проходящими тестами → CI зелёный","Использовать pnpm если в проекте pnpm, иначе npm. Кэширование через actions/cache.",""
"P0-007","EPIC-P0-INFRA","","S","Sentry интеграция","Создать 2 проекта в Sentry (free tier): new-universe-backend, new-universe-tma. Подключить в код через @sentry/node и @sentry/react. DSN в .env.","P0-003 | P0-004","backend/src/lib/sentry.ts | frontend/src/lib/sentry.ts","Тестовая ошибка на бэкенде попадает в Sentry | Тестовая ошибка на фронте попадает в Sentry | В Sentry привязаны git releases","GET /debug-sentry → видно ошибку в Sentry UI","Эндпоинт /debug-sentry убрать после тестирования.",""
"P0-008","EPIC-P0-INFRA","","S","Структурированное логирование","Все логи бэкенда — через Pino, в JSON. Поля: ts, level, msg, requestId, userId (если есть), feature.","P0-003","backend/src/lib/logger.ts | backend/src/middleware/request-id.ts","Каждый HTTP-запрос логируется со своим requestId (генерируется через uuid v4) | Логи в dev — через pino-pretty, читаемые в терминале | Логи в проде — pure JSON, готовы для BetterStack/Logtail","Сделать запрос → в логах видно requestId","—",""
"P0-009","EPIC-P0-INFRA","","S","Vitest + первый smoke-тест","Подключить vitest. Написать smoke-тест для GET /health.","P0-003","backend/vitest.config.ts | backend/src/routes/health.test.ts","`npm test` запускает vitest и проходит | Тест проверяет, что /health возвращает 200 и {status:""ok""}","`docker compose exec backend npm test` зелёный","—",""
"P0-010","EPIC-P0-INFRA","","M","Telegram-бот через @BotFather + dev webhook","Создать тестового бота через @BotFather (имя NewUniverseDevBot). Получить токен. Настроить dev-webhook через cloudflared tunnel. Документировать процесс в dev/README.md.","P0-003","dev/TELEGRAM_SETUP.md","Бот существует в Telegram | TELEGRAM_BOT_TOKEN записан в личные заметки разработчика (НЕ в репо!) | Webhook URL настроен через @BotFather → /setwebhook | Тестовое сообщение боту → попадает в backend log","Отправить /start боту → видно в логах backend","Описать в TELEGRAM_SETUP.md шаги: создание бота, получение токена, настройка туннеля. Токен хранить ТОЛЬКО в .env (gitignored).",""
